2026-03-02 10:56:06,283 | INFO     | src.utils.pdf_to_markdown | Converting PDF → Markdown: 2602.03442v1_rag_pdf-1-9.pdf  (embed_images=True)
2026-03-02 10:56:09,219 | INFO     | src.utils.pdf_to_markdown | Converted 2602.03442v1_rag_pdf-1-9.pdf — 627,965 chars of Markdown
2026-03-02 10:56:09,225 | INFO     | src.utils.image_enricher | Enriching 5 image(s)…
2026-03-02 10:56:09,226 | INFO     | src.utils.image_enricher |   Processing image 1/5
2026-03-02 10:56:11,309 | INFO     | src.utils.image_enricher |   Image 1 ✓ (table=yes, json=yes)
2026-03-02 10:56:11,310 | INFO     | src.utils.image_enricher |   Processing image 2/5
2026-03-02 10:56:11,905 | INFO     | src.utils.image_enricher |   Image 2 ✓ (table=no, json=no)
2026-03-02 10:56:11,907 | INFO     | src.utils.image_enricher |   Processing image 3/5
2026-03-02 10:56:12,414 | INFO     | src.utils.image_enricher |   Image 3 ✓ (table=no, json=no)
2026-03-02 10:56:12,415 | INFO     | src.utils.image_enricher |   Processing image 4/5
2026-03-02 10:56:14,016 | INFO     | src.utils.image_enricher |   Image 4 ✓ (table=yes, json=yes)
2026-03-02 10:56:14,019 | INFO     | src.utils.image_enricher |   Processing image 5/5
2026-03-02 10:56:15,276 | INFO     | src.utils.image_enricher |   Image 5 ✓ (table=yes, json=yes)
2026-03-02 10:56:15,289 | INFO     | src.chunking.structure_recursive | structure_recursive_chunk: doc='2602.03442v1_rag_pdf-1-9.pdf' → 56 chunks (text=45, table=6, image=5)
